団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
465054,鹿児島県,屋久島町,0.23,87.1,9.8,-,96.1,11326
465232,鹿児島県,大和村,0.08,92.7,6.7,-,94.2,1384
465241,鹿児島県,宇検村,0.09,92.9,9.4,-,92.5,1604
465259,鹿児島県,瀬戸内町,0.16,92.3,9.6,-,92.4,8084
465275,鹿児島県,龍郷町,0.17,88.6,9.0,-,95.2,6014
465291,鹿児島県,喜界町,0.16,82.7,10.8,-,94.9,6307
465305,鹿児島県,徳之島町,0.23,85.4,7.6,37.7,91.3,9844
465313,鹿児島県,天城町,0.15,92.4,7.3,1.1,93.4,5461
465321,鹿児島県,伊仙町,0.13,87.8,9.8,87.6,89.5,6132
465330,鹿児島県,和泊町,0.18,90.8,16.2,0.8,93.4,5975
465348,鹿児島県,知名町,0.15,88.8,12.3,5.0,96.6,5383
465356,鹿児島県,与論町,0.16,91.7,9.3,-,90.8,5062
472018,沖縄県,那覇市,0.84,88.2,8.1,46.5,97.4,313424
472051,沖縄県,宜野湾市,0.67,95.7,6.3,21.3,95.3,100443
472077,沖縄県,石垣市,0.46,89.9,7.0,53.6,96.3,49830
472085,沖縄県,浦添市,0.75,93.6,5.0,29.6,95.3,115486
472093,沖縄県,名護市,0.45,95.6,6.6,35.0,94.7,64734
472107,沖縄県,糸満市,0.54,94.1,9.2,22.0,94.9,62250
472115,沖縄県,沖縄市,0.58,93.8,5.8,30.8,95.8,141739
472123,沖縄県,豊見城市,0.63,89.1,8.9,97.6,97.2,65889
472131,沖縄県,うるま市,0.49,96.8,6.1,4.9,95.9,126948
472140,沖縄県,宮古島市,0.39,97.6,10.1,18.2,96.1,55656
472158,沖縄県,南城市,0.38,87.2,6.2,-,97.6,46929
473014,沖縄県,国頭村,0.20,87.5,8.2,-,93.7,4459
473022,沖縄県,大宜味村,0.39,88.5,8.4,-,96.8,2910
473031,沖縄県,東村,0.13,88.4,8.6,-,91.2,1701
473065,沖縄県,今帰仁村,0.27,82.1,7.4,6.2,92.8,9183
473081,沖縄県,本部町,0.35,89.8,9.3,3.8,95.2,12899
473111,沖縄県,恩納村,0.63,78.8,5.2,-,95.8,11316
473138,沖縄県,宜野座村,0.29,85.6,9.3,-,94.2,6500
473146,沖縄県,金武町,0.39,89.7,4.7,-,95.3,11481
473154,沖縄県,伊江村,0.15,74.3,5.5,-,93.1,4268
473243,沖縄県,読谷村,0.63,85.9,6.4,-,97.3,42289
473251,沖縄県,嘉手納町,0.61,83.3,1.6,-,95.7,12909
473260,沖縄県,北谷町,0.80,80.2,4.0,-,94.7,29259
473278,沖縄県,北中城村,0.63,85.8,5.5,46.5,97.7,17951
473286,沖縄県,中城村,0.61,86.8,5.1,-,99.1,22683
473294,沖縄県,西原町,0.62,87.8,6.1,1.7,97.5,35659
473481,沖縄県,与那原町,0.47,91.0,8.7,73.9,95.9,19920
473502,沖縄県,南風原町,0.62,86.5,8.5,15.6,99.1,41330
473537,沖縄県,渡嘉敷村,0.10,92.2,8.3,-,93.2,665
473545,沖縄県,座間味村,0.10,87.1,11.1,67.4,96.2,873
473553,沖縄県,粟国村,0.09,95.0,11.9,186.7,91.8,676
473561,沖縄県,渡名喜村,0.07,93.5,11.0,-,84.5,291
473570,沖縄県,南大東村,0.15,85.4,7.5,-,89.2,1227
473588,沖縄県,北大東村,0.09,80.6,8.2,-,90.9,544
473596,沖縄県,伊平屋村,0.08,89.9,7.3,101.7,93.6,1191
473600,沖縄県,伊是名村,0.10,94.8,6.0,26.1,97.2,1237
473618,沖縄県,久米島町,0.19,93.9,5.5,-,94.3,7140
473626,沖縄県,八重瀬町,0.44,87.3,8.0,-,97.0,33255
473758,沖縄県,多良間村,0.11,89.2,6.5,-,76.9,1040
473812,沖縄県,竹富町,0.14,98.9,7.8,-,96.2,4208
473821,沖縄県,与那国町,0.14,94.4,7.1,-,87.6,1689
